,speed,course,rot,Anomaly,Anomaly_Score,label,Anomal
1418,0.0,128.0,0.0,1,50.04800966473585,1,1
1420,0.0,299.0,0.0,1,53.44954703051529,1,1
1424,0.0,282.0,7.0,1,52.79057469182666,1,1
1470,0.0,329.0,-128.0,1,63.603504132691796,1,1
1471,0.0,134.0,0.0,1,50.05734260461392,1,1
1495,0.0,133.0,0.0,1,50.05521191541335,1,1
1501,0.0,330.0,-5.0,1,54.77035766664191,1,1
1507,0.0,296.0,0.0,1,53.337188861997674,1,1
1514,0.0,267.0,0.0,1,52.34125699068346,1,1
1519,0.0,301.0,0.0,1,53.52540250760932,1,1
1527,0.0,9.0,0.0,1,51.551806412570166,1,1
1545,0.0,319.0,5.0,1,54.2053654370387,1,1
1552,0.0,52.0,-5.0,1,50.70983649770899,1,1
1557,0.0,129.0,0.0,1,50.048989894352204,1,1
1571,0.0,330.0,0.0,1,54.708669518039706,1,1
1572,0.0,14.0,0.0,1,51.425707177065945,1,1
1590,0.0,292.0,-128.0,1,62.33991651971186,1,1
1599,0.0,134.0,5.0,1,50.017434825330476,1,1
1609,0.0,216.0,7.0,1,50.959382896874374,1,1
1619,0.0,282.0,0.0,1,52.83575611754631,1,1
1627,0.0,330.0,0.0,1,54.708669518039706,1,1
1644,0.0,330.0,0.0,1,54.708669518039706,1,1
1660,0.0,304.0,0.0,1,53.64060284558552,1,1
1679,0.0,145.0,0.0,1,50.09595394427112,1,1
1680,0.0,304.0,0.0,1,53.64060284558552,1,1
1689,0.0,330.0,0.0,1,54.708669518039706,1,1
1698,0.0,145.0,0.0,1,50.09595394427112,1,1
1721,0.0,301.0,0.0,1,53.52540250760932,1,1
1732,0.0,304.0,0.0,1,53.64060284558552,1,1
1745,0.0,14.0,-128.0,1,60.821786903520845,1,1
1766,0.0,52.0,0.0,1,50.64327611994413,1,1
1772,0.0,308.0,0.0,1,53.79683183858201,1,1
